well_position	broad_sample	mmoles_per_liter	solvent
J13	BRD-K65709100-001-05-1	5.0	DMSO
J14	BRD-A74368234-005-05-7	5.0	DMSO
J15	BRD-K79925921-001-05-4	5.0	DMSO
J16	BRD-K06708756-001-05-2	5.0	DMSO
J17	BRD-K48613747-001-05-6	5.0	DMSO
J18	BRD-K27008127-001-05-4	5.0	DMSO
J19	BRD-K67677217-001-05-8	5.0	DMSO
J20	BRD-K91686435-001-06-3	5.0	DMSO
J21	BRD-K47254543-001-05-6	5.0	DMSO
J22	BRD-K66631864-001-05-2	5.0	DMSO
J23			DMSO
J24			DMSO
K01			DMSO
K02			DMSO
K03	BRD-K74231754-001-05-4	5.0	DMSO
K04	BRD-K20284192-001-05-8	5.0	DMSO
K05	BRD-K65927155-001-05-3	5.0	DMSO
K06	BRD-K63816485-001-05-1	5.0	DMSO
K07	BRD-K91540193-001-05-6	5.0	DMSO
K08	BRD-K23826019-001-05-4	5.0	DMSO
K09	BRD-K54725510-001-07-0	5.0	DMSO
K10	BRD-K83152417-001-05-0	5.0	DMSO
K11	BRD-K08050560-001-05-3	5.0	DMSO
K12	BRD-K28006365-001-03-3	5.0	DMSO
K13	BRD-A99565171-001-05-3	5.0	DMSO
K14	BRD-K24138834-001-05-6	5.0	DMSO
K15	BRD-K79207495-001-05-3	5.0	DMSO
K16	BRD-K17378892-001-05-6	5.0	DMSO
K17	BRD-A39089577-001-05-7	5.0	DMSO
K18	BRD-K94540066-001-05-7	5.0	DMSO
K19	BRD-K41006170-001-05-6	5.0	DMSO
K20	BRD-K84635282-001-05-5	5.0	DMSO
K21	BRD-K20856604-001-07-1	5.0	DMSO
K22	BRD-K29326308-001-06-7	5.0	DMSO
K23			DMSO
K24			DMSO
L01			DMSO
L02			DMSO
L03	BRD-A35991484-001-06-8	5.0	DMSO
L04	BRD-K04006746-001-05-6	5.0	DMSO
L05	BRD-K30320072-001-05-3	5.0	DMSO
L06	BRD-K78479643-001-05-0	5.0	DMSO
L07	BRD-A99845239-001-05-9	5.0	DMSO
L08	BRD-K23890108-001-05-2	5.0	DMSO
L09	BRD-K78226178-001-06-6	5.0	DMSO
L10	BRD-K39399785-001-05-6	5.0	DMSO
L11	BRD-K45202051-001-06-9	5.0	DMSO
L12	BRD-K82116022-001-05-3	5.0	DMSO
